Training loss: 6.12e-02 lr: 4.59e-05:   9% 94/1015 [00:45<07:25,  2.07it/s]
Training loss: 6.08e-02 lr: 4.64e-05:   9% 95/1015 [00:45<07:25,  2.06it/s]
Training loss: 4.70e-02 lr: 4.68e-05:   9% 96/1015 [00:46<07:26,  2.06it/s]
Training loss: 4.13e-02 lr: 4.73e-05:  10% 97/1015 [00:46<07:23,  2.07it/s]
Training loss: 3.46e-02 lr: 4.78e-05:  10% 98/1015 [00:47<07:24,  2.06it/s]
Training loss: 1.48e-01 lr: 4.83e-05:  10% 99/1015 [00:47<07:24,  2.06it/s]
Training loss: 1.39e-01 lr: 4.88e-05:  10% 100/1015 [00:48<07:25,  2.06it/s]
Training loss: 1.61e-01 lr: 4.93e-05:  10% 101/1015 [00:48<07:25,  2.05it/s]
Training loss: 1.26e-01 lr: 4.98e-05:  10% 102/1015 [00:49<07:27,  2.04it/s]
Training loss: 1.29e-01 lr: 4.50e-05:  10% 103/1015 [00:49<07:25,  2.05it/s]
Training loss: 1.25e-01 lr: 4.49e-05:  10% 104/1015 [00:50<07:25,  2.05it/s]
Training loss: 9.06e-02 lr: 4.49e-05:  10% 105/1015 [00:50<07:25,  2.04it/s]
Training loss: 6.82e-02 lr: 4.48e-05:  10% 106/1015 [00:51<07:23,  2.05it/s]
Training loss: 5.13e-02 lr: 4.48e-05:  11% 107/1015 [00:51<07:27,  2.03it/s]
Training loss: 4.34e-02 lr: 4.47e-05:  11% 108/1015 [00:52<07:23,  2.04it/s]
Training loss: 9.55e-02 lr: 4.47e-05:  11% 109/1015 [00:52<07:24,  2.04it/s]
Training loss: 7.21e-02 lr: 4.46e-05:  11% 110/1015 [00:53<07:23,  2.04it/s]
Training loss: 7.99e-02 lr: 4.46e-05:  11% 111/1015 [00:53<07:23,  2.04it/s]
Training loss: 6.84e-02 lr: 4.45e-05:  11% 112/1015 [00:54<07:24,  2.03it/s]
Training loss: 5.23e-02 lr: 4.45e-05:  11% 113/1015 [00:54<07:23,  2.04it/s]
