Training loss: 7.40e-01 lr: 3.25e-05:  48% 87/182 [01:08<01:12,  1.31it/s]
Training loss: 7.42e-01 lr: 3.21e-05:  48% 88/182 [01:08<01:11,  1.31it/s]
Training loss: 7.06e-01 lr: 3.18e-05:  49% 89/182 [01:09<01:11,  1.31it/s]
Training loss: 7.52e-01 lr: 3.14e-05:  49% 90/182 [01:10<01:10,  1.31it/s]
Training loss: 7.85e-01 lr: 3.11e-05:  50% 91/182 [01:11<01:09,  1.31it/s]
Training loss: 8.21e-01 lr: 3.07e-05:  51% 92/182 [01:11<01:08,  1.31it/s]
Training loss: 8.06e-01 lr: 3.04e-05:  51% 93/182 [01:12<01:07,  1.31it/s]
Training loss: 7.86e-01 lr: 3.00e-05:  52% 94/182 [01:13<01:07,  1.31it/s]
Training loss: 7.72e-01 lr: 2.97e-05:  52% 95/182 [01:14<01:06,  1.31it/s]
Training loss: 7.78e-01 lr: 2.94e-05:  53% 96/182 [01:14<01:05,  1.31it/s]
Training loss: 7.59e-01 lr: 2.90e-05:  53% 97/182 [01:15<01:04,  1.31it/s]
Training loss: 7.69e-01 lr: 2.87e-05:  54% 98/182 [01:16<01:03,  1.32it/s]
Training loss: 7.78e-01 lr: 2.83e-05:  54% 99/182 [01:17<01:02,  1.32it/s]
Training loss: 7.07e-01 lr: 2.80e-05:  55% 100/182 [01:18<01:02,  1.31it/s]
Training loss: 7.29e-01 lr: 2.76e-05:  55% 101/182 [01:18<01:01,  1.32it/s]
Training loss: 6.96e-01 lr: 2.73e-05:  56% 102/182 [01:19<01:00,  1.32it/s]
Training loss: 7.22e-01 lr: 2.69e-05:  57% 103/182 [01:20<00:59,  1.32it/s]
Training loss: 6.79e-01 lr: 2.66e-05:  57% 104/182 [01:21<00:59,  1.32it/s]
Training loss: 7.26e-01 lr: 2.62e-05:  58% 105/182 [01:21<00:58,  1.32it/s]
Training loss: 6.95e-01 lr: 2.59e-05:  58% 106/182 [01:22<00:57,  1.32it/s]
Training loss: 7.02e-01 lr: 2.56e-05:  59% 107/182 [01:23<00:56,  1.32it/s]
Training loss: 7.58e-01 lr: 2.52e-05:  59% 108/182 [01:24<00:56,  1.32it/s]
Training loss: 7.28e-01 lr: 2.49e-05:  60% 109/182 [01:24<00:55,  1.31it/s]
Training loss: 7.21e-01 lr: 2.45e-05:  60% 110/182 [01:25<00:54,  1.31it/s]
Training loss: 7.26e-01 lr: 2.42e-05:  61% 111/182 [01:26<00:54,  1.31it/s]
Training loss: 7.65e-01 lr: 2.38e-05:  62% 112/182 [01:27<00:53,  1.31it/s]
Training loss: 7.25e-01 lr: 2.35e-05:  62% 113/182 [01:27<00:52,  1.31it/s]
Training loss: 7.06e-01 lr: 2.31e-05:  63% 114/182 [01:28<00:51,  1.31it/s]
Training loss: 6.90e-01 lr: 2.28e-05:  63% 115/182 [01:29<00:51,  1.31it/s]
Training loss: 7.39e-01 lr: 2.24e-05:  64% 116/182 [01:30<00:50,  1.32it/s]
Training loss: 7.52e-01 lr: 2.21e-05:  64% 117/182 [01:30<00:49,  1.31it/s]
Training loss: 7.43e-01 lr: 2.18e-05:  65% 118/182 [01:31<00:48,  1.31it/s]
Training loss: 7.63e-01 lr: 2.14e-05:  65% 119/182 [01:32<00:48,  1.31it/s]
Training loss: 7.81e-01 lr: 2.11e-05:  66% 120/182 [01:33<00:47,  1.31it/s]
Training loss: 7.12e-01 lr: 2.07e-05:  66% 121/182 [01:34<00:46,  1.31it/s]
Training loss: 7.08e-01 lr: 2.04e-05:  67% 122/182 [01:34<00:46,  1.30it/s]
Training loss: 7.01e-01 lr: 2.00e-05:  68% 123/182 [01:35<00:45,  1.30it/s]
Training loss: 6.99e-01 lr: 1.97e-05:  68% 124/182 [01:36<00:44,  1.30it/s]
Training loss: 7.11e-01 lr: 1.93e-05:  69% 125/182 [01:37<00:43,  1.30it/s]
Training loss: 6.87e-01 lr: 1.90e-05:  69% 126/182 [01:37<00:43,  1.30it/s]
Training loss: 6.65e-01 lr: 1.86e-05:  70% 127/182 [01:38<00:42,  1.30it/s]
Training loss: 6.62e-01 lr: 1.83e-05:  70% 128/182 [01:39<00:41,  1.30it/s]
Training loss: 6.41e-01 lr: 1.80e-05:  71% 129/182 [01:40<00:40,  1.30it/s]
Training loss: 6.71e-01 lr: 1.76e-05:  71% 130/182 [01:40<00:40,  1.30it/s]
Training loss: 6.53e-01 lr: 1.73e-05:  72% 131/182 [01:41<00:39,  1.30it/s]
Training loss: 6.61e-01 lr: 1.69e-05:  73% 132/182 [01:42<00:38,  1.30it/s]
Training loss: 6.57e-01 lr: 1.66e-05:  73% 133/182 [01:43<00:37,  1.30it/s]
Training loss: 6.32e-01 lr: 1.62e-05:  74% 134/182 [01:44<00:36,  1.30it/s]
Training loss: 6.78e-01 lr: 1.59e-05:  74% 135/182 [01:44<00:36,  1.30it/s]
Training loss: 6.70e-01 lr: 1.55e-05:  75% 136/182 [01:45<00:35,  1.30it/s]
Training loss: 6.91e-01 lr: 1.52e-05:  75% 137/182 [01:46<00:34,  1.29it/s]
