Training loss: 6.86e-01 lr: 3.30e-05:  47% 91/194 [01:08<01:22,  1.25it/s]
Training loss: 6.85e-01 lr: 3.27e-05:  47% 92/194 [01:09<01:21,  1.26it/s]
Training loss: 6.65e-01 lr: 3.24e-05:  48% 93/194 [01:10<01:20,  1.26it/s]
Training loss: 6.87e-01 lr: 3.21e-05:  48% 94/194 [01:11<01:19,  1.26it/s]
Training loss: 6.81e-01 lr: 3.17e-05:  49% 95/194 [01:12<01:18,  1.26it/s]
Training loss: 7.03e-01 lr: 3.14e-05:  49% 96/194 [01:12<01:17,  1.26it/s]
Training loss: 7.12e-01 lr: 3.11e-05:  50% 97/194 [01:13<01:16,  1.26it/s]
Training loss: 6.62e-01 lr: 3.08e-05:  51% 98/194 [01:14<01:15,  1.27it/s]
Training loss: 6.75e-01 lr: 3.04e-05:  51% 99/194 [01:15<01:14,  1.27it/s]
Training loss: 6.88e-01 lr: 3.01e-05:  52% 100/194 [01:15<01:13,  1.28it/s]
Training loss: 7.09e-01 lr: 2.98e-05:  52% 101/194 [01:16<01:12,  1.28it/s]
Training loss: 7.23e-01 lr: 2.95e-05:  53% 102/194 [01:17<01:11,  1.28it/s]
Training loss: 7.66e-01 lr: 2.91e-05:  53% 103/194 [01:18<01:10,  1.29it/s]
Training loss: 7.40e-01 lr: 2.88e-05:  54% 104/194 [01:19<01:09,  1.29it/s]
Training loss: 7.42e-01 lr: 2.85e-05:  54% 105/194 [01:19<01:08,  1.29it/s]
Training loss: 7.26e-01 lr: 2.82e-05:  55% 106/194 [01:20<01:08,  1.29it/s]
Training loss: 7.13e-01 lr: 2.78e-05:  55% 107/194 [01:21<01:07,  1.30it/s]
Training loss: 7.22e-01 lr: 2.75e-05:  56% 108/194 [01:22<01:06,  1.29it/s]
Training loss: 7.10e-01 lr: 2.72e-05:  56% 109/194 [01:22<01:05,  1.30it/s]
Training loss: 7.01e-01 lr: 2.69e-05:  57% 110/194 [01:23<01:04,  1.30it/s]
Training loss: 6.87e-01 lr: 2.66e-05:  57% 111/194 [01:24<01:03,  1.31it/s]
Training loss: 7.28e-01 lr: 2.62e-05:  58% 112/194 [01:25<01:02,  1.31it/s]
Training loss: 7.30e-01 lr: 2.59e-05:  58% 113/194 [01:25<01:01,  1.31it/s]
Training loss: 7.20e-01 lr: 2.56e-05:  59% 114/194 [01:26<01:01,  1.31it/s]
Training loss: 7.49e-01 lr: 2.53e-05:  59% 115/194 [01:27<01:00,  1.31it/s]
Training loss: 7.42e-01 lr: 2.49e-05:  60% 116/194 [01:28<00:59,  1.31it/s]
